iter	Passed	Remaining
0	5	5587
1	10	5454
2	15	5296
3	20	5080
4	25	5001
5	29	4882
6	34	4903
7	39	4876
8	43	4827
9	48	4796
10	52	4746
11	57	4735
12	61	4686
13	65	4635
14	69	4564
15	73	4526
16	78	4520
17	82	4512
18	87	4505
19	91	4501
20	96	4494
21	101	4490
22	105	4484
23	110	4492
24	115	4496
25	119	4489
26	124	4484
27	129	4481
28	133	4472
29	138	4470
30	142	4463
31	147	4457
32	152	4460
33	156	4453
34	161	4444
35	165	4436
36	170	4431
37	174	4428
38	179	4428
39	184	4418
40	188	4416
41	193	4407
42	198	4408
43	202	4398
44	206	4389
45	211	4387
46	216	4381
47	220	4371
48	224	4361
49	229	4357
50	234	4361
51	239	4359
52	244	4363
53	249	4364
54	253	4357
55	258	4364
56	263	4361
57	269	4372
58	276	4402
59	281	4408
60	288	4440
61	294	4451
62	300	4464
63	306	4480
64	311	4482
65	317	4489
66	323	4509
67	328	4508
68	335	4530
69	341	4542
70	348	4556
71	354	4565
72	360	4573
73	365	4578
74	372	4597
75	378	4605
76	385	4619
77	390	4618
78	397	4628
79	403	4639
80	410	4657
81	416	4667
82	423	4681
83	429	4682
84	436	4698
85	441	4693
86	449	4713
87	455	4718
88	460	4711
89	466	4720
90	471	4711
91	476	4707
92	482	4709
93	487	4701
94	492	4692
95	497	4682
96	501	4666
97	505	4652
98	509	4637
99	514	4628
100	518	4616
101	523	4605
102	527	4595
103	532	4591
104	537	4580
105	542	4573
106	546	4563
107	551	4552
108	555	4540
109	559	4529
110	564	4518
111	568	4511
112	574	4509
113	579	4502
114	583	4490
115	587	4477
116	592	4471
117	597	4462
118	601	4453
119	605	4442
120	609	4431
121	614	4420
122	618	4411
123	622	4398
124	626	4386
125	630	4374
126	634	4362
127	639	4354
128	643	4344
129	647	4335
130	652	4325
131	656	4316
132	660	4307
133	665	4300
134	670	4296
135	674	4284
136	678	4275
137	682	4266
138	687	4259
139	691	4249
140	695	4239
141	700	4230
142	704	4224
143	709	4217
144	714	4214
145	719	4206
146	724	4203
147	729	4202
148	735	4198
149	740	4193
150	745	4190
151	750	4186
152	755	4181
153	761	4181
154	766	4177
155	770	4170
156	775	4163
157	780	4160
158	786	4159
159	792	4158
160	797	4156
161	803	4155
162	808	4153
163	814	4153
164	820	4153
165	826	4154
166	832	4152
167	838	4151
168	844	4152
169	850	4151
170	856	4154
171	862	4153
172	869	4155
173	875	4156
174	881	4155
175	888	4157
176	893	4156
177	903	4174
178	909	4173
179	915	4170
180	921	4169
181	929	4176
182	935	4174
183	941	4173
184	947	4172
185	953	4171
186	959	4170
187	964	4167
188	970	4163
189	975	4160
190	981	4157
191	988	4158
192	993	4155
193	999	4153
194	1006	4153
195	1012	4151
196	1018	4149
197	1025	4155
198	1032	4154
199	1037	4151
200	1044	4150
201	1050	4148
202	1056	4146
203	1062	4145
204	1068	4142
205	1074	4142
206	1080	4138
207	1085	4134
208	1091	4130
209	1097	4127
210	1102	4123
211	1108	4121
212	1114	4118
213	1120	4114
214	1124	4107
215	1128	4097
216	1133	4089
217	1137	4081
218	1142	4074
219	1146	4066
220	1151	4058
221	1155	4050
222	1160	4043
223	1164	4035
224	1169	4028
225	1173	4018
226	1177	4009
227	1181	3999
228	1185	3991
229	1190	3985
230	1195	3978
231	1200	3972
232	1204	3966
233	1209	3958
234	1214	3952
235	1219	3946
236	1224	3942
237	1229	3936
238	1234	3931
239	1239	3926
240	1244	3919
241	1249	3915
242	1255	3910
243	1260	3905
244	1265	3899
245	1270	3893
246	1274	3885
247	1279	3878
248	1283	3871
249	1288	3864
250	1292	3857
251	1297	3852
252	1303	3848
253	1308	3842
254	1312	3834
255	1317	3829
256	1321	3821
257	1326	3814
258	1331	3808
259	1335	3801
260	1340	3795
261	1345	3789
262	1349	3782
263	1355	3779
264	1361	3775
265	1366	3770
266	1371	3765
267	1377	3762
268	1382	3757
269	1387	3750
270	1392	3745
271	1399	3746
272	1404	3739
273	1408	3732
274	1413	3726
275	1418	3721
276	1423	3715
277	1427	3708
278	1431	3700
279	1436	3692
280	1442	3689
281	1446	3682
282	1450	3675
283	1454	3668
284	1458	3659
285	1463	3652
286	1467	3645
287	1471	3637
288	1475	3630
289	1479	3622
290	1483	3615
291	1487	3607
292	1492	3600
293	1496	3594
294	1501	3587
295	1505	3579
296	1509	3572
297	1513	3565
298	1518	3559
299	1523	3554
300	1529	3551
301	1534	3546
302	1538	3540
303	1543	3533
304	1547	3525
305	1550	3517
306	1555	3510
307	1559	3504
308	1564	3497
309	1567	3489
310	1571	3481
311	1575	3474
312	1579	3467
313	1583	3459
314	1587	3451
315	1590	3443
316	1594	3435
317	1598	3428
318	1602	3420
319	1606	3412
320	1609	3405
321	1613	3398
322	1617	3390
323	1621	3383
324	1626	3377
325	1631	3374
326	1637	3370
327	1642	3365
328	1646	3358
329	1651	3352
330	1655	3345
331	1659	3339
332	1663	3331
333	1668	3326
334	1672	3319
335	1676	3313
336	1681	3307
337	1689	3308
338	1694	3303
339	1698	3296
340	1702	3290
341	1707	3284
342	1711	3277
343	1715	3270
344	1719	3264
345	1723	3257
346	1727	3251
347	1731	3244
348	1736	3238
349	1740	3231
350	1744	3225
351	1749	3219
352	1754	3216
353	1759	3211
354	1764	3205
355	1769	3201
356	1774	3195
357	1778	3189
358	1783	3184
359	1787	3178
360	1792	3173
361	1798	3169
362	1803	3164
363	1807	3158
364	1812	3152
365	1816	3146
366	1821	3141
367	1825	3135
368	1829	3129
369	1834	3123
370	1838	3117
371	1843	3112
372	1848	3106
373	1852	3100
374	1856	3094
375	1861	3089
376	1865	3083
377	1870	3077
378	1874	3071
379	1879	3065
380	1883	3060
381	1888	3055
382	1892	3049
383	1897	3043
384	1901	3038
385	1906	3032
386	1911	3027
387	1915	3021
388	1920	3016
389	1935	3027
390	1940	3021
391	1944	3016
392	1949	3010
393	1953	3004
394	1957	2998
395	1961	2992
396	1966	2986
397	1970	2980
398	1975	2974
399	1979	2969
400	1983	2963
401	1988	2957
402	1992	2952
403	1997	2946
404	2002	2941
405	2006	2935
406	2010	2929
407	2015	2924
408	2019	2918
409	2024	2913
410	2029	2908
411	2034	2903
412	2038	2897
413	2043	2891
414	2047	2886
415	2051	2880
416	2056	2874
417	2060	2868
418	2064	2862
419	2068	2856
420	2073	2851
421	2077	2845
422	2081	2839
423	2085	2833
424	2090	2827
425	2094	2821
426	2098	2815
427	2103	2810
428	2107	2804
429	2112	2799
430	2117	2796
431	2122	2790
432	2127	2785
433	2131	2779
434	2135	2774
435	2139	2768
436	2144	2762
437	2148	2756
438	2152	2750
439	2156	2745
440	2161	2739
441	2165	2734
442	2170	2729
443	2174	2723
444	2179	2718
445	2183	2712
446	2187	2706
447	2192	2700
448	2196	2695
449	2200	2689
450	2204	2683
451	2208	2677
452	2212	2672
453	2217	2666
454	2221	2660
455	2225	2655
456	2229	2649
457	2233	2643
458	2238	2637
459	2242	2632
460	2246	2627
461	2251	2621
462	2255	2616
463	2260	2611
464	2264	2605
465	2269	2600
466	2273	2594
467	2277	2589
468	2281	2583
469	2286	2578
470	2290	2572
471	2295	2567
472	2299	2561
473	2303	2556
474	2308	2551
475	2312	2545
476	2316	2540
477	2320	2534
478	2325	2529
479	2329	2523
480	2334	2518
481	2338	2513
482	2343	2508
483	2347	2502
484	2351	2497
485	2356	2492
486	2361	2487
487	2365	2482
488	2370	2477
489	2374	2471
490	2379	2466
491	2383	2461
492	2388	2455
493	2392	2450
494	2396	2445
495	2400	2439
496	2404	2433
497	2409	2428
498	2413	2423
499	2417	2417
500	2422	2412
501	2426	2406
502	2430	2401
503	2434	2396
504	2438	2390
505	2443	2385
506	2447	2380
507	2451	2374
508	2456	2369
509	2460	2363
510	2464	2358
511	2469	2353
512	2473	2348
513	2477	2342
514	2482	2337
515	2486	2332
516	2491	2327
517	2495	2321
518	2499	2316
519	2504	2311
520	2508	2306
521	2513	2301
522	2517	2296
523	2521	2290
524	2525	2285
525	2530	2280
526	2534	2275
527	2539	2269
528	2543	2264
529	2548	2259
530	2551	2254
531	2556	2248
532	2559	2242
533	2564	2237
534	2568	2232
535	2572	2226
536	2576	2221
537	2580	2215
538	2584	2210
539	2587	2204
540	2592	2199
541	2596	2193
542	2600	2188
543	2604	2182
544	2608	2177
545	2612	2172
546	2616	2167
547	2620	2161
548	2626	2157
549	2631	2153
550	2635	2147
551	2639	2142
552	2644	2137
553	2648	2131
554	2651	2126
555	2656	2120
556	2660	2116
557	2665	2111
558	2670	2106
559	2674	2101
560	2678	2096
561	2683	2091
562	2688	2086
563	2692	2081
564	2696	2076
565	2701	2071
566	2704	2065
567	2708	2060
568	2712	2054
569	2716	2049
570	2720	2043
571	2724	2038
572	2728	2033
573	2732	2028
574	2736	2022
575	2740	2017
576	2745	2012
577	2749	2007
578	2753	2002
579	2757	1997
580	2762	1992
581	2766	1987
582	2771	1982
583	2776	1977
584	2780	1972
585	2785	1967
586	2789	1962
587	2794	1957
588	2798	1952
589	2802	1947
590	2806	1942
591	2811	1937
592	2815	1932
593	2819	1927
594	2823	1922
595	2828	1917
596	2832	1912
597	2836	1907
598	2841	1901
599	2845	1896
600	2849	1891
601	2853	1886
602	2857	1881
603	2862	1876
604	2866	1871
605	2870	1866
606	2874	1861
607	2878	1856
608	2883	1851
609	2887	1845
610	2891	1840
611	2895	1835
612	2900	1830
613	2904	1825
614	2908	1820
615	2912	1815
616	2916	1810
617	2920	1805
618	2925	1800
619	2929	1795
620	2933	1790
621	2937	1785
622	2942	1780
623	2946	1775
624	2950	1770
625	2954	1765
626	2959	1760
627	2963	1755
628	2967	1750
629	2971	1745
630	2976	1740
631	2980	1735
632	2984	1730
633	2988	1725
634	2993	1720
635	2997	1715
636	3001	1710
637	3005	1705
638	3010	1700
639	3014	1695
640	3018	1690
641	3022	1685
642	3026	1680
643	3031	1675
644	3035	1670
645	3039	1665
646	3043	1660
647	3048	1655
648	3052	1651
649	3057	1646
650	3061	1641
651	3065	1636
652	3070	1631
653	3074	1626
654	3079	1622
655	3084	1617
656	3088	1612
657	3092	1607
658	3096	1602
659	3100	1597
660	3105	1592
661	3109	1587
662	3113	1582
663	3118	1577
664	3122	1572
665	3126	1568
666	3130	1563
667	3134	1558
668	3139	1553
669	3143	1548
670	3147	1543
671	3151	1538
672	3155	1533
673	3160	1528
674	3164	1523
675	3168	1518
676	3172	1513
677	3176	1508
678	3181	1503
679	3185	1499
680	3189	1494
681	3193	1489
682	3198	1484
683	3202	1479
684	3206	1474
685	3210	1469
686	3214	1464
687	3219	1459
688	3223	1454
689	3227	1450
690	3232	1445
691	3236	1440
692	3240	1435
693	3244	1430
694	3249	1425
695	3253	1421
696	3257	1416
697	3262	1411
698	3267	1406
699	3271	1402
700	3275	1397
701	3279	1392
702	3284	1387
703	3288	1382
704	3292	1377
705	3296	1372
706	3301	1368
707	3305	1363
708	3310	1358
709	3314	1353
710	3318	1348
711	3323	1344
712	3328	1339
713	3332	1334
714	3337	1330
715	3341	1325
716	3345	1320
717	3350	1315
718	3354	1311
719	3358	1306
720	3363	1301
721	3367	1296
722	3371	1291
723	3376	1287
724	3380	1282
725	3384	1277
726	3388	1272
727	3392	1267
728	3397	1262
729	3401	1258
730	3405	1253
731	3410	1248
732	3414	1243
733	3418	1238
734	3422	1234
735	3427	1229
736	3431	1224
737	3435	1219
738	3439	1214
739	3443	1209
740	3447	1204
741	3450	1199
742	3455	1195
743	3459	1190
744	3464	1185
745	3469	1181
746	3474	1176
747	3478	1172
748	3483	1167
749	3487	1162
750	3491	1157
751	3495	1152
752	3499	1147
